tinsp,deg
1,0.05231697502671168
2,0.597278346331867
3,0.8343415210409351
4,1.1724566408227364
5,1.2163856827880324
6,1.4774471718172815
7,2.1875602527677445
8,2.452117255974814
9,3.099561454913571
10,2.7848637306812347
11,3.3077405912906572
12,2.66521346685455
13,2.685574686909492
14,4.344124881029314
15,3.891735846448462
16,4.420714700900596
17,3.5932337988133973
18,3.142102958001638
19,2.70842270152238
20,2.9298823659843967
21,3.6052707094837704
22,2.999088884774914
23,3.12651861143464
24,4.250789592963219
25,3.4761114621915716
26,2.985231702762775
27,4.236592145154914
28,3.75488379250527
29,3.4864677777935498
30,3.049126351102722
31,2.6019012573118117
32,2.8842962413849826
33,2.9391732850520467
34,3.133700527284003
35,2.881285855678023
36,3.2657113339334978
37,2.7134211787032685
38,3.2320046051542697
39,2.758338165418619
40,3.1334174988938486
41,2.728605635589228
42,3.0676803482388104
43,2.502219350694639
44,3.1643017950904424
45,3.030632306560817
46,2.507133601518698
47,2.596286486372404
48,2.714883260678768
49,3.2714857998757116
50,2.6389630763399863
51,3.6500362565413975
52,2.9472306800318613
53,3.030143736298359
54,2.4535799413113955
55,2.870459068934325
56,3.588139394345301
57,3.0232209009994553
58,2.4458807256431117
59,2.516030970943223
60,4.017262793860495
61,4.1504362838696185
62,3.3485961496082757
63,2.922485380463656
64,3.2103989054398934
65,3.287267008625626
66,2.6693139834954596
67,2.968096886032767
68,3.3404636424166725
69,3.097443065437739
70,2.8867981703291723
71,3.0095701169454165
72,2.5230573159450254
73,2.6305845817648583
74,3.5836785267525473
75,2.9016764994991657
76,3.52245807957403
77,3.002761807881359
78,2.6225750264286845
79,2.9318361166296776
80,2.993723606408774
81,4.738494955665169
82,4.372942590093082
83,3.501661020587249
84,2.929503279195699
85,3.230986246899686
86,3.7136175340300825
87,3.044774986142068
88,2.907289912222379
89,4.187426806591024
90,3.9748268772410094
91,3.3453106920435003
92,3.636089964245134
93,3.1294992400811164
94,3.1027907694080903
95,2.6612046367978697
96,4.146207202192077
97,3.499162007429588
98,3.351824243771867
99,2.7045996192595423
100,2.9235653770670016
101,3.0068224340564598
102,2.572587283152644
103,2.6537687578796203
104,3.2974315646061205
105,4.374700455922749
106,3.678678707355372
107,3.7809823637894575
108,3.27002849534591
109,2.627811929804311
110,2.7841612526851467
111,5.597235060437138
112,6.601693829856659
113,0.35432974636441744
114,0.4048195339893128
115,0.5157323770375213
116,1.073080502713909
117,1.1092866461068915
118,2.5000646961578843
119,2.6214174894649003
120,2.6291923111235915
121,3.601251885088195
122,3.7822736068493183
123,3.2221248637238356
124,5.62979782114179
125,4.925405584378706
126,4.100016695564759
127,3.4419606781256995
128,3.6287709615577346
129,3.5368564627946513
130,2.96556849046752
131,3.356194524222041
132,3.955589143714419
133,3.963527085299322
134,3.67768946705169
135,3.2892241956428907
136,2.857438139737897
137,3.8659608377356975
138,4.281018249252116
139,3.682600532533542
140,3.78031896504069
141,3.3180399569535375
142,2.730918571881724
143,2.790526484401191
144,3.0429655070380184
145,2.4871680037164903
146,2.808269466807571
147,4.107393464618598
148,3.3099402794111836
149,2.8070652736317605
150,2.824984863094281
151,2.876121472239074
152,3.7010542304136487
153,2.96550129905009
154,3.0624988379155704
155,2.672384473382926
156,2.771799066906589
157,3.1878004934831594
158,3.0650705759409975
159,2.844500714880961
160,3.868138062588663
161,3.816215749893965
162,4.247797971710678
163,3.5653950299821986
164,3.2225587059274545
165,2.5853808482402894
166,2.6377584705798887
167,2.976295038239654
168,3.33379372833723
169,2.693047770288029
170,2.8134906415281877
171,2.880621202044724
172,3.4948462794202633
173,3.020004414135822
174,4.596002895318809
175,4.1976523993830135
176,4.507973553266565
177,4.1836333943883615
178,3.5800346456751697
179,3.027314031491542
180,2.6229796984803815
181,3.845519842997355
182,5.4079947265326345
183,6.014832473389727
184,0.11254035888041963
185,2.351721473301248
186,2.5846508736612335
187,3.2402524915056605
188,3.853251521200769
189,3.2244515382121977
190,4.026087440920138
191,3.270441276482318
192,3.522812561814267
193,3.6123118303788058
194,2.892828369257163
195,2.987956724033691
196,3.741898684626934
197,3.2096187267313137
198,2.571273544338301
199,2.6068472814534616
200,3.1539863042415517
