tinsp,deg
1,2.5536430082662123
2,3.268585579238097
3,2.541346886817654
4,3.5128600067454054
5,2.9297563711198342
6,3.801244834138136
7,2.5881263800599954
8,4.280223615946301
9,10.637594762614603
10,0.035072159074767024
11,2.127610909188481
12,3.3775800846206394
13,3.2538641976334626
14,3.966498817863531
15,4.106256155765587
16,9.346626502865751
17,0.15722662298141687
18,1.9186818934136656
19,2.2523505880121832
20,4.716817402634261
21,3.246791048060492
22,3.8061693566496926
23,6.573497410019333
24,0.5602967736820551
25,3.3011708153850514
26,2.1801417388912014
27,2.6898856104118494
28,5.0977496847823796
29,2.2762867963695195
30,6.240393768682966
31,1.1322790110655694
32,1.619330898140343
33,4.457688879487232
34,1.3956364534572703
35,2.210953301119872
36,6.549477213151179
37,0.9891829658740096
38,5.31810130037423
39,1.8423512377731848
40,2.9172144104450166
41,4.4019766975674015
42,2.688094053439144
43,3.711261661177321
44,6.135132911456604
45,2.2018787140481706
46,4.027541521156526
47,2.893270754893143
48,3.577636874133439
49,2.719289941794844
50,6.285426744323178
51,0.25607179239110905
52,2.1713860973343895
53,3.052451743051184
54,2.667356155898912
55,3.303293279773963
56,4.291197627948659
57,4.8257722374670795
58,5.802780042815742
59,8.44204445415419
60,0.8186085948368634
61,2.330122031798009
62,3.8755183610839197
63,3.049495858496867
64,2.0955711377339674
65,3.760453605647999
66,2.7201630177683715
67,5.710926472930309
68,8.288582619564403
69,1.3340240992895314
70,2.3074612920601476
71,3.8167077417100366
72,1.2395251463279493
73,2.0218720474394196
74,5.495226260655938
75,5.116722803621729
76,3.0264803101086377
77,4.663690029523215
78,5.899450100106373
79,5.576377340035625
80,8.145875669351046
81,0.6038081169005028
82,0.8323514219077414
83,1.8913925886337415
84,3.7206473779822913
85,2.5997613809537947
86,5.122305608662777
87,3.262072210226381
88,2.5936489088658288
89,4.763527532238713
90,2.8789147168027838
91,3.993519988891453
92,4.561132702008786
93,3.5734456500266543
94,6.54861136615708
95,0.06075460865870985
96,0.45351066464438916
97,2.5310249122939648
98,4.647135374856221
99,8.22759831853959
100,0.19859459523372808
101,2.5564643764475217
102,3.009278938656131
103,1.1645590240302384
104,5.004040558584126
105,4.882037880768502
106,6.9339052215253725
107,0.7056880791985638
108,1.970467887205938
109,2.9828247447923237
110,3.9166047709853307
111,3.506825792212478
112,2.3640646362939632
113,5.848161329008615
114,4.068573906187483
115,4.439135172733327
116,3.3048180216880207
117,4.679013512721938
118,1.6833061497532464
119,4.826599206781203
120,4.375127279968358
121,4.325749347771389
122,7.981578548581047
123,0.4811673000572483
124,0.9352735121447056
125,4.010697508183959
126,4.0317589052935325
127,2.9507833216920516
128,5.854610242809811
129,7.305033671321927
130,1.9202418572174254
131,4.535305453929233
132,2.5530053437346183
133,6.29474889921396
134,0.8347792005141383
135,2.3098787892625205
136,2.79027797806352
137,4.503966426520695
138,3.745312569927505
139,3.5208955752601345
140,4.154220333341
141,3.11242628066177
142,5.754683022458276
143,5.791221867676988
144,6.357414818943855
145,0.19269767670159363
146,1.499620900710599
147,2.7163231537499346
148,6.96270099145991
149,0.16763375267928027
150,0.9358766677692545
151,2.3007664789152287
152,3.2663291951437663
153,2.43172719818219
154,5.435999118746476
155,2.1799785934199383
156,6.306808743434734
157,0.49073832463313766
158,3.3065936783622734
159,1.8661360093288595
160,2.456745000489901
161,6.457434467277702
162,0.24720441560277664
163,2.0325825116155074
164,4.736422449984676
165,2.360233205974032
166,4.433645262015472
167,2.485705941630158
168,7.560898637618317
169,0.3377679887144271
170,2.4449008113074306
171,5.601627964300591
172,6.647852482390076
173,0.08304068771892471
174,0.7168236647563504
175,2.019823542522549
176,3.3565097809936546
177,5.792922528787046
178,3.3061956367893988
179,5.739250678444946
180,4.041432739677958
181,3.4981710914236084
182,5.992972739202833
183,4.176431413873122
184,7.528521472596203
185,0.9073901035618456
186,1.7166091991649473
187,5.298245684626884
188,8.072472496602119
189,0.4956601674247854
190,0.7787396785042615
191,1.5341732835882882
192,5.0784581210202795
193,3.2080022706439153
194,2.852208903995707
195,3.3412452602870735
196,1.7608636212321211
197,4.957716452263565
198,7.031798192678693
199,0.396390816890814
200,1.2853422747977308
